Supplementary Table 4. Quality assessment and taxonomic classification of the prokaryotic Skin Microbial Genome Catalogue																	
identifier	genome_size	N50	completeness	contamination	5S_rRNA	LSU_rRNA_bacteria	SSU_rRNA_bacteria	Numb_tRNAs	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	novelty	Sample
SMGC_362	2436875	10100	65.42	0	0	0	0	7	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_2729
SMGC_363	1583948	8200	86.79	1.73	0	0	0	9	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__Anaerococcus sp900128425	Known	SAMPLE_2729
SMGC_364	2083736	5573	84.92	2.87	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__	Novel	SAMPLE_2731
SMGC_365	1990319	42516	97.23	0.35	0	0	0	7	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus agalactiae	Known	SAMPLE_2731
SMGC_366	2415443	25982	99	0	94.96	68.14	51.27	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia sp001808955	Known	SAMPLE_2731
SMGC_367	1948422	6830	88.51	1.53	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__F0040	s__	Novel	SAMPLE_2731
SMGC_368	2660944	9023	90.91	2.97	94.96	10.6	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__	Novel	SAMPLE_2731
SMGC_369	2441575	64870	99.45	0	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia xyli	Known	SAMPLE_2731
SMGC_370	3817367	54183	100	0	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidocella	s__	Known	SAMPLE_2731
SMGC_371	2094094	4850	81.75	2.38	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia sp000411415	Known	SAMPLE_2731
SMGC_372	3310601	54715	99.32	0	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella melaninogenica	Known	SAMPLE_2731
SMGC_373	1974280	27918	98.46	1.53	0	0	0	8	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	s__Abiotrophia defectiva	Known	SAMPLE_2732
SMGC_374	3030022	43370	100	0	0	0	0	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium_B	s__Chryseobacterium_B sp002391865	Known	SAMPLE_2732
SMGC_375	1469744	90244	96.95	0	0	0	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Levyella	s__Levyella massiliensis	Known	SAMPLE_2732
SMGC_376	1676885	11785	85.1	0.33	0	0	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionimicrobium	s__Propionimicrobium lymphophilum	Known	SAMPLE_2732
SMGC_377	1486529	55301	79.02	0	94.12	8.96	32.62	10	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_B	s__Peptoniphilus_B duerdenii	Known	SAMPLE_2732
SMGC_378	1018397	7439	56.18	1.99	0	0	0	5	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_C	s__Peptoniphilus_C sp900088125	Known	SAMPLE_2732
SMGC_379	1565381	8558	94.92	1.69	0	0	0	19	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__Jonquetella	s__Jonquetella anthropi	Known	SAMPLE_2732
SMGC_380	1750335	7784	84.28	2.19	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinotignum	s__Actinotignum schaalii_A	Known	SAMPLE_2732
SMGC_381	6684495	133906	98.62	2.03	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas nitroreducens_B	Known	SAMPLE_2732
SMGC_382	1107408	17903	68.24	0.88	0	0	0	4	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Ezakiellaceae	g__Fenollaria	s__	Known	SAMPLE_2732
SMGC_383	2310476	31181	96.08	0	0	0	0	5	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sanguinis	Known	SAMPLE_2732
SMGC_384	2742099	28584	98.05	1.87	94.12	99.62	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	Known	SAMPLE_2732
SMGC_385	1393040	32399	92.82	0	0	0	0	8	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Ezakiellaceae	g__Fenollaria	s__	Known	SAMPLE_2732
SMGC_386	4377261	42719	95.68	0.47	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas_A	s__	Known	SAMPLE_2732
SMGC_387	1399077	3751	60.97	1.86	0	0	0	7	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_2733
SMGC_388	6723321	131263	95.06	2.62	93.28	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas nitroreducens	Known	SAMPLE_2733
SMGC_389	1104048	7302	92.04	0.97	0	22.77	0	14	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus iners	Known	SAMPLE_2733
SMGC_390	6093320	42628	99.34	1.15	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium pusense	Known	SAMPLE_2733
SMGC_391	3611834	5013	90.57	2.65	0	0	27.79	16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__	Novel	SAMPLE_2733
SMGC_392	6436519	102901	99.41	0.7	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__Mycolicibacterium mucogenicum_A	Known	SAMPLE_2734
SMGC_393	3882017	11295	92.54	0.25	0	0	0	14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__Chryseobacterium joostei	Known	SAMPLE_2734
SMGC_394	3304809	3311	52.5	0.94	94.12	7.76	0	5	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus fascians	Known	SAMPLE_2734
SMGC_395	2103309	33659	88.93	0.26	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp001767255	Known	SAMPLE_2734
SMGC_396	3964729	15133	92.84	0.54	0	0	0	13	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__Pararheinheimera sp001275035	Known	SAMPLE_2734
SMGC_397	4405765	7698	94.46	0.95	0	0	0	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium spiritivorum	Known	SAMPLE_2734
SMGC_398	3348219	48722	100	0	0	0	0	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Empedobacter	s__Empedobacter falsenii	Known	SAMPLE_2734
SMGC_399	2709795	41300	99.03	0.05	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_2734
SMGC_400	2283088	20025	98.86	0.69	89.08	0	0	14	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis	Known	SAMPLE_2734
SMGC_401	1749449	3440	79.26	4.49	0	0	16.24	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__	s__	Novel	SAMPLE_2735
SMGC_402	4910679	100854	98.29	0.17	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia otitidis	Known	SAMPLE_2735
SMGC_403	2267289	47198	97.08	0	94.96	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia sp001683935	Known	SAMPLE_2741
SMGC_404	2292269	3652	67.34	2.23	0	0	0	12	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__UBA1936	s__	Novel	SAMPLE_2741
SMGC_405	2118051	3241	84.05	1.81	94.12	0	0	10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella denticola	Known	SAMPLE_2741
SMGC_406	3039930	1769	52.69	4.26	0	0	0	7	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__	Novel	SAMPLE_2741
SMGC_407	2827639	3441	59.83	0	93.28	0	0	8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_O	s__	Novel	SAMPLE_2741
SMGC_408	2439486	4206	88.73	2.92	0	0	0	11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella nigrescens	Known	SAMPLE_2741
SMGC_409	4548103	8514	89.64	0.99	0	0	0	12	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia	s__Serratia liquefaciens	Known	SAMPLE_2741
SMGC_410	4696082	135526	97.83	0.43	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ochrobactrum_A	s__Ochrobactrum_A pituitosum	Known	SAMPLE_2741
SMGC_411	4198778	125822	100	0.26	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhodoferax	s__	Novel	SAMPLE_2743
SMGC_412	2283619	14181	97.05	0.47	0	0	0	17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas cangingivalis	Known	SAMPLE_2743
SMGC_413	4940956	26371	95.24	0.43	0	0	0	20	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	Novel	SAMPLE_2743
SMGC_414	2554398	2031	58.81	1.63	0	0	0	11	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	Novel	SAMPLE_2743
SMGC_415	1036576	2259	57.08	0	0	0	0	4	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis_B	Known	SAMPLE_2743
SMGC_416	2302773	2286	70.16	2.3	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__Lautropia mirabilis	Known	SAMPLE_2744
SMGC_417	787299	12488	64.74	0.91	0	0	0	5	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Helcococcus	s__	Novel	SAMPLE_2747
SMGC_418	1446784	6216	83.74	1.75	0	0	0	7	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__Peptoniphilus_A grossensis_B	Known	SAMPLE_2747
SMGC_419	1702074	16506	97.87	0.34	94.12	10.74	0	20	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olegusella	s__Olegusella massiliensis	Known	SAMPLE_2747
SMGC_420	1586770	5193	55.02	0	0	0	0	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium sp900258505	Known	SAMPLE_2747
SMGC_421	2221656	179320	100	0	0	0	0	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Weeksella	s__Weeksella virosa	Known	SAMPLE_2747
SMGC_422	1845523	2645	69.78	1.96	94.96	8.51	20.35	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__	s__	Novel	SAMPLE_2747
SMGC_423	1906260	9058	59.06	0	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium tuscaniense	Known	SAMPLE_2747
SMGC_424	2350840	20584	96.72	0.17	0	0	0	13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	Novel	SAMPLE_2747
SMGC_425	813192	2001	56.14	0.35	0	0	0	5	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__W5053	s__	Novel	SAMPLE_2747
SMGC_426	2112741	17735	95.22	0	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oligella	s__Oligella urethralis	Known	SAMPLE_2747
SMGC_427	1444408	4503	80.47	1.57	0	0	0	8	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__Peptoniphilus_A harei_A	Known	SAMPLE_2747
SMGC_428	1593975	241857	100	0.08	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium vaginale_G	Known	SAMPLE_2747
SMGC_429	1586568	17804	94.53	0	0	0	0	19	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__	Known	SAMPLE_2747
SMGC_430	1739841	6936	81.1	1.62	94.96	12.14	21.2	18	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Saccharofermentanales	f__DTU023	g__	s__	Novel	SAMPLE_2747
SMGC_431	1596503	20918	74.3	0.88	0	0	0	9	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_2747
SMGC_432	1208885	2575	73.02	3.06	0	0	0	4	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Facklamia	s__Facklamia hominis	Known	SAMPLE_2747
SMGC_433	3914655	6262	87.31	2.04	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AJ	Known	SAMPLE_2748
SMGC_434	2256561	6606	82.8	2.74	0	0	0	4	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus saprophyticus	Known	SAMPLE_2748
SMGC_435	1052355	2532	70.35	1.82	0	0	0	17	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Negativicoccaceae	g__Negativicoccus	s__	Known	SAMPLE_2749
SMGC_436	1555850	6376	85.81	0.7	0	99.69	0	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Finegoldia	s__Finegoldia magna_F	Known	SAMPLE_2749
SMGC_437	1395362	88716	97.81	1.37	0	0	34.44	13	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Eremococcus	s__	Known	SAMPLE_2751
SMGC_438	2108876	74318	93.57	0.29	94.12	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Helcobacillus	s__	Known	SAMPLE_2751
SMGC_439	3169280	24097	97.87	0.78	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium luteolum	Known	SAMPLE_2753
SMGC_440	2072481	9552	91.58	0.9	0	0	0	13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000758925	Known	SAMPLE_2754
SMGC_441	1337543	18447	94.91	0.9	0	0	0	15	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__28L	s__28L sp002892445	Known	SAMPLE_2754
SMGC_442	2080463	6147	95.91	2.17	0	10.77	0	13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas gulae	Known	SAMPLE_2754
SMGC_443	2182433	2288	68.04	1.41	0	0	0	11	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Haematomicrobium	s__Haematomicrobium sanguinis	Known	SAMPLE_2754
SMGC_444	2405632	19191	96.17	0.04	94.96	8.48	0	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	Novel	SAMPLE_2754
SMGC_445	2218633	3923	94.32	3.67	94.12	47.45	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus mulieris	Known	SAMPLE_2754
SMGC_446	1377336	28815	87.35	0.35	0	0	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Saccharofermentanales	f__Fastidiosipilaceae	g__KA00274	s__	Novel	SAMPLE_2754
SMGC_447	1804246	17975	93.47	0.17	0	0	0	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella amnii	Known	SAMPLE_2754
SMGC_448	1409250	46877	100	0.81	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Fannyhessea	s__	Novel	SAMPLE_2754
SMGC_449	3478602	11591	97.44	1.3	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__	Novel	SAMPLE_2754
SMGC_450	800256	468834	84.48	3.04	0	99.69	99.74	20	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Saccharimonadaceae	g__UBA1103	s__	Novel	SAMPLE_2754
SMGC_451	5419154	29081	61.4	0	0	0	0	9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E koreensis_C	Known	SAMPLE_2756
SMGC_452	2042018	10923	78.72	0.68	0	0	0	8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp002934695	Known	SAMPLE_2756
SMGC_453	5845134	61022	97.45	1.09	0	0	0	15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002966775	Known	SAMPLE_2756
SMGC_454	1354449	1724	55.84	1.64	0	0	0	11	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__Nesterenkonia massiliensis	Known	SAMPLE_2756
SMGC_455	1468193	2007	70.21	3.53	0	0	0	7	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__	Novel	SAMPLE_2757
SMGC_456	3224033	3448	84.86	4.61	0	0	0	8	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D	s__Enterococcus_D sp002850555	Known	SAMPLE_2757
SMGC_457	4184500	113559	99.59	0	0	0	0	12	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus paralicheniformis	Known	SAMPLE_2757
SMGC_458	2001678	2356	76.31	0.95	0	0	0	6	d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__	Novel	SAMPLE_2757
SMGC_459	1992194	4812	71.9	2.55	0	0	0	11	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus lylae	Known	SAMPLE_2758
SMGC_460	5685277	8151	84.24	1.61	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium gordonae_B	Known	SAMPLE_2758
SMGC_461	4894892	5273	88.43	4.17	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__	Novel	SAMPLE_2758
SMGC_462	2182091	4411	78.1	3.01	0	0	0	12	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__	Novel	SAMPLE_2758
SMGC_463	2840593	2975	60.48	1.16	94.96	0	23.22	16	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__	Novel	SAMPLE_2758
SMGC_464	1667632	7303	84.57	1.49	0	0	0	8	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis_S	Known	SAMPLE_2758
SMGC_465	5844736	4220	92.67	2.19	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium organophilum	Known	SAMPLE_2760
SMGC_466	2335943	47269	98.86	0	94.96	0	0	4	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus schleiferi	Known	SAMPLE_2760
SMGC_467	1867297	19047	95.84	0.87	0	0	0	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D parainfluenzae	Known	SAMPLE_2760
SMGC_468	4225061	2264	82.78	2.97	0	0	0	12	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Cellvibrionaceae	g__	s__	Novel	SAMPLE_2760
SMGC_469	2511222	7059	93.03	4.3	95.8	11.25	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SAMPLE_2761
SMGC_470	2630928	57887	97.92	1.05	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_2761
SMGC_471	2073254	3769	69.3	1.37	0	0	17.29	18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	Novel	SAMPLE_2761
SMGC_472	2135335	6838	69.85	1.64	0	0	0	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	Known	SAMPLE_2761
SMGC_473	2086601	16622	97.24	1.54	0	0	80.17	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas somerae_A	Known	SAMPLE_2762
SMGC_474	1517806	14927	94.8	1.04	0	0	0	13	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__	Novel	SAMPLE_2762
SMGC_475	2619964	11544	93.68	1.37	0	38.29	24.85	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SAMPLE_2762
SMGC_476	1004085	140737	61.25	0.85	0	99.56	99.74	20	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Saccharimonadaceae	g__Saccharimonas	s__	Novel	SAMPLE_2762
SMGC_477	1509427	3379	85.29	3.43	95.8	0	0	11	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__UBA6286	s__UBA6286 sp002438305	Known	SAMPLE_2762
SMGC_478	713530	14102	64.36	0.85	0	99.56	72.8	18	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Saccharimonadaceae	g__TM7x	s__	Novel	SAMPLE_2764
SMGC_479	2087336	4555	88.77	3.23	0	0	0	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__F0040	s__	Novel	SAMPLE_2764
SMGC_480	3363084	7217	93.28	3.53	0	43.49	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__	Novel	SAMPLE_2767
SMGC_481	2520844	12613	94.45	1.2	0	0	0	15	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces sp000220835	Known	SAMPLE_2771
SMGC_482	4002197	11152	88.43	2.93	88.24	0	0	16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_N	Known	SAMPLE_2771
